Year,Crocodile Reference Number,Date Sighted,Crocodile of Concern,Resolved crocodile of concern,Crocodile confirmed by EHP officer,Zones 1 or 2,Crocodile Management Plan, Local Government Authority,"Crocodile Management Plan Zone Objectives (Zone 1 - Remove; Zone 2 - remove crocodiles 2 m and greater or aggressive crocodile, Zone 2 - CAIRNS; Zone 3 - remove crocodiles of concern)",South of the  Boyne River,Crocodile attack or behaving aggressively,Location or crocodile behaviour is a threat,crocodile prevention barrier and stock ,"crocodile urban management area  (CUMA), Gladstone, Mackay, Rockhampton Local Government Authorities",Describe COC assessment,Outcome,Date crocodile removed,Is there an imminent threat to human safety,date of contact with EHP,"Species,freshwater(Crocodylus johnstoni), estuarine ( Crocodylus porsus)",number of crocodiles,size of largest crocodile (m) (estimate),were tracks left,nest or slide present,location of Crocodile,latitude,longitude,name of river creek beach or waterhole,"type of habitat e.g. vegetated land, open water, mad/mangroves, sand",nearest public area,"public use type e.g. swimming, fishing, boating, camping",intensity of use at time of sighting,additional comments intensity of use,all parts of crocodile exposed,eye part of crocodile exposed,head part of crocodile exposed,tail part of crocodile exposed,head and back part of crocodile exposed,gait high,gait sliding,gait running,gait walking,gait swimming,moving quickly or slowly,direction of travel of crocodile,Is the crocodile 2 m or greater,Is the croc in a well known habitat,Is the crocodile moving through,food source fish frame,food source abbattoir,food source crab pots,food source smelly bins,food source boat ramp,food source dugong,food source turtle,Food Animal carcass
2010,2010011,13/01/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,no,no,no,n/a,no further action,n/a,n/a,13/01/2010,Crocodylus porsus,2,4,no,yes,Claudie River Bridge. DERM officer was standing on bridge and the larger crocodile was spotted in the water. The smaller crocodile was basking on the wood debris alongside the bridge.,-12.835299,143.346829,Claudie River,Riverina,Bridge crossing,fishing,low,Bridge is crossed each day by vehicles,yes,no,no,no,no,yes,no,no,no,no,slowly,Up stream swimming against current,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010012,15/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"Animal is in moderate-high use public area and this situation always has the potential for threat. The area of sighting is outside the Urban Management Area for crocodiles and is primarily used for boating. Recent sighting signs are in place in the area, and a permanent sign is located at the Breakwater boat ramp near the Ferry terminal - opposite the harbour.",no further action,n/a,n/a,15/01/2010,Crocodylus porsus,1,unknown,no,no,"In the middle of harbour at Townsville Port. Crocodile was coming out of Ross Creek, heading into the open water.",-19.2489,146.8315,"Ross Creek, Townsville harbour",harbour,Townsville Port,"Recreational boating, shipping",moderate,n/a,no,no,no,no,yes,no,no,no,no,yes,no data,"Crocodile was observed by security cameras in the main tower. Security staff zoomed into the image and noticed it was a crocodile. They were not able to engage a size. Staff were sent out to get a closer look, however the crocodile had moved on by that stage.",n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010013,18/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,the crocodile has not demonstrated any behavioural clues to consider the animal an elevated risk,no further action,n/a,n/a,18/01/2010,Crocodylus porsus,1,3.5,no,no,35m off the beach swimming around a couple of bouys and then in along the beach towards her and her dogs,-164940.74,1454408.09,n/a,open water at beach,stinger net swimming enclosure approximately 800m away,"swimming, fishing, walking dogs, castnetting",high,n/a,no,no,no,yes,yes,no,no,no,no,yes,no data,"All directions, didn't know which way it was going",n/a,n/a,n/a,yes,no,no,no,yes,no,no,n/a
2010,2010014,19/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,no,no,no,n/a,no further action,n/a,n/a,22/01/2010,Crocodylus porsus,1,1,yes,yes,"little creek to the north of the resort, only runs during wet weather.",-163740.46,1453256.94,turtle cove creek,vegetated banks,"resort, swimming and walks",swimming,moderate,n/a,yes,no,no,no,no,no,no,no,no,yes,no data,n/a,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010015,20/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"Crocodile's size makes it a potential threat to human safety, but landholder reporting the sighting is endeavouring to contact all neighbours that have not yet been notified of the animal's presence. Crocodile is in an area of private properties with no public access without permission. Crocodiles are known to occasionally inhabit the area in question.",no further action,n/a,n/a,20/01/2010,Crocodylus porsus,1,3.5,yes,no,Sighting was on the O'Connell River between the junctions with the Andromache River and Gibson Creek.,-20.5974,148.6,O'Connell River,n/a,Caravan park (O'Connell River Whitsunday Tourist Park) approximately 3.8kms downstream on the Bruce Highway. Tourist park has a permanent QPWS crocodile warning sign on site and has been notified of the sighting.,Fishing by locals,low,n/a,yes,no,no,no,no,no,no,no,no,yes,no data,n/a,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010016,22/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"This area is a known fishing area for locals and tourist and a well known crocodile habitat surrounding this area, all signs are in place.",no further action,n/a,n/a,25/01/2010,Crocodylus porsus,1,1.5,no,no,East of the Cooktown wharf near the old powder magazine,-15.458587,145.2505,Endeavour River,Rocky Foreshore,Cooktown Wharf approx 250m,"fishing, boating",low,n/a,no,no,no,no,yes,no,no,no,no,yes,stationary,Stationary,n/a,n/a,n/a,yes,no,yes,no,yes,yes,yes,n/a
2010,2010017,24/01/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,yes,no,no,"barrier damaged, not confirmed size and is in residential community man made lagoon. 25/1/10 pm spotlight - only 2ft animal confirmed sighting and would not be a threat to humans",no further action,n/a,n/a,25/01/2010,unknown,2,0.6,no,no,lagoon (man made),-16.785501,145.696541,blue lagoon trinity beach,"man made lagoon max depth 8ft, 1.5m sloping rock edge",resort and private housing surrounding lagoon,nil but children known to play on rocks and edge of water,low,n/a,yes,no,no,no,no,no,no,no,no,no,no data,Only 2ft animal sighted swimming near edge,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010018,27/01/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,yes,no,no,"With rain in the area people do try and traverse these flooded creeks and rivers by foot, therefore they are putting their own safety at risk. All signs are in place.",no further action,n/a,n/a,27/01/2010,Crocodylus porsus,1,3,no,no,Southern Laura crossing,-15.578222,144.456393,Laura crossing,Sandy and rocky bottom with vegetated river banks,Peninsula development road,"Fishing, camping, river crossing",moderate,n/a,no,no,no,yes,yes,no,no,no,no,yes,no data,Mid stream going down the river and turned around and headed back up stream,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010019,28/01/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,yes,no,no,Area is downstream of popular swimming areas and is used for fishing at this time of year,no further action,n/a,n/a,28/01/2010,Crocodylus porsus,1,4.2,no,yes,Near old tea tree farm on Elim beach Rd,-15.4399,145.16788,Nth arm Endeavour River,Vegetated land,Evelina Crossing 5km upstream from sighting,Fishing and swimming,high,This is a popular swimming area for the locals,yes,no,no,no,no,no,yes,no,no,no,slowly,Staying in area popping head up a few times,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010020,27/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"People using the boat ramp should be aware that they are in a crocodile habitat, and entering the water to launch or retrieve a boat would put themselves at unnecessary risk.",no further action,n/a,n/a,27/01/2010,Crocodylus porsus,1,4.5,no,no,New boat ramp at Marton township,-15.429004,145.121975,Endeavour river,Mud/mangroves/sand,Marton boat ramp,"Fishing, boating, crabbing",moderate,n/a,no,no,no,yes,yes,no,no,no,no,yes,stationary,Stationary in the water at marton boat ramp,n/a,n/a,n/a,yes,no,yes,no,yes,no,no,n/a
2010,2010021,28/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,no,no,no,n/a,no further action,n/a,n/a,28/01/2010,Crocodylus porsus,1,4,no,unknown,"Off from Rocky pt boat ramp, Sth Wonga Beach",-16.41189,145.408107,Rocky pt,ocean,Rocky pt boat ramp,boat ramp and beach,moderate,"Boat ramp gets used in good weather conditions. Locals walk, beach, sometimes with dogs. Stinger season so people should not be swimming.",no,no,no,yes,yes,no,no,no,no,no,slowly,In water,n/a,n/a,n/a,no,no,no,no,yes,no,no,n/a
2010,2010022,29/01/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,yes,no,no,"it appears the crocodile is inhabiting the drainage system some distance from the river. the average person would probably not expect to find a crocodile of this size in such a location, however most farmers in the area would aware crocodiles inhabit these drains.",no further action,n/a,n/a,2/2/2010,Crocodylus porsus,1,2.7,yes,no,n a drainage system on a cane farm in Lower Tully. the drain consists of a system of narrow channels and at least one larger settlement pond in the middle. the drain flows into the Hull river system. the property is in between the Hull and Tully rivers in a low area that is known to flood (not sure of flooding levels but i have seen the cane paddocks inundated). the location of this animal would be approx 1km from the river as the drain runs. most of the drain is only waist deep and clear water.,-17.98153,145.99516,Hull River - cane drain,narrow drain and settlement pond constructed on farm land. limited vegetation. good basking sites. I know of nesting occurring on neighbouring property in similar situation.,only owners and contractors should have access to the area however kids regularly ride bikes into the property even though it is private land.,unknown,low,n/a,yes,no,no,no,no,no,yes,no,no,no,no data,n/a,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010023,8/2/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,Due to the location and use of the area it does pose a potential threat if people are unaware of the surrounding crocodile habitat in this area. All appropriate signs are in place ( permanent and recent ).,no further action,n/a,n/a,9/2/2010,Crocodylus porsus,1,2.5,no,unknown,Annan River Boat Ramp - Cooktown,-15.51903,145.232646,Annan River,Mud/Mangrove/sandbars,Annan River boat ramp,"boating, fishing, crabbing",moderate,Use of the boat ramp is moderate but is of high use during holiday periods,no,no,no,yes,yes,no,no,no,no,no,stationary,Stationary on the boat ramp,n/a,n/a,n/a,yes,no,yes,no,yes,yes,yes,n/a
2010,2010024,13/02/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"Mackay Regional Council staff altered monitoring techniques following continued presence of the croc in RWS2 pond during 2008/2009. Water quality is now assessed from a remote computer. Mackay Sugar sample the water from the ponds edge, if mitigation measures are not employed this may pose a potential safety risk to workers.",no further action,n/a,n/a,15/02/2010,Crocodylus porsus,1,3,no,no,Racecourse Pond #2. Racecourse Ponds (3 in total) are Mackay Sugar effluent ponds which service surrounding cane farms. Mackay Regional Council has an effluent pond (RWS2) adjacent to Mackay Sugars ponds. Mackay Sugar and Mackay Regional Council effluent ponds are adjacent to Bakers Creek located approximately 5kms south of Mackay. I attempted to access site this morning however the Bakers Creek causeway was flooded. Mackay Sugar will notify me when flood waters reside.,-21.2108,149.1078,Adjacent to Bakers Creek,"4 effluent ponds surrounded by cane fields, adjacent to Bakers Creek.",Public access not permitted at site. Mackay Sugar carries out water testing of the ponds when required. Workers predicted flood waters may result in the presence of a croc in the ponds. Croc was seen on Saturday by workers testing water.,While no physical barriers exist public are not permitted on site. Currently there is no access to the site due to flooded causeway on Abbotts Road.,moderate,I have left a voicemail message for Matt Smyth to inform him of the crocs presence. Matt is responsible for operations at Mackay Regional Council effluent pond. I will continue to call Matt to ensure receipt of voicemail.,no,yes,yes,no,no,no,no,no,no,no,no data,Croc was seen swimming in the middle of the effluent pond.,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010025,15/02/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,yes,no,no,the location is effectively now known croc habitat and there is now a history of at least one confirmed sighting in this location previously. there is no physical barriers to prevent the movement of animals up river although the rapids and habitat may be considered undesirable. potentially it could pose a risk to the commercial white water rafting activities that occur on this section of the river,no further action,n/a,n/a,16/02/2010,Crocodylus porsus,1,2,no,no,upper reaches of Tully River. sighted in the pool below Frank Roberts Lookout,-18.011899,146.015506,Tully River,"Tully Gorge/River freshwater, usually following especially this time of year, very rocky, many rapids",Tully Gorge NP camp ground,"camping, white water rafting. swimming should be no longer permitted as permanent croc warning signs were installed after the last sighting making it known croc habitat on NP. however i suspect many people will still be swimming at the camp ground.",moderate,n/a,yes,no,no,no,no,no,no,no,no,no,no data,n/a,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010026,No data,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"During the school holidays kids were fishing from the rocks and boat ramp, the small crocodiles were seen swimming while they were carrying out the activity during the day. The large crocodile as reported above was hear say and not seen.",no further action,n/a,n/a,16/02/2010,Crocodylus porsus,4,no data,yes,no,Badu island boat ramp,-10.170313,142.168251,Badu island,island habitat,boat ramp and beach,"swimming, boating, fishing, squidding",high,n/a,no,no,no,no,yes,no,no,no,no,yes,no data,Around the island,n/a,n/a,n/a,yes,no,no,no,yes,no,no,n/a
2010,2010027,16/02/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,According to the observer the location is a high risk as people use the area for recreational activities regularly particularly children. As i am not familiar with the area it is hard for me to determine based on a desktop assessment.,no further action,n/a,n/a,19/02/2010,Crocodylus porsus,1,4.2,no,no,"right at the mouth of Mossman River, mainly been seen on the Cooya beach side. the other side has a boat ramp.",-16.434955,145.404715,Mossman river,Mostly open sandy areas,beach either side of river. boat ramp at mouth of the river,public using beach particularly Cooya Bch for activities such as fishing. observer reports a high number of kids play at the river mouth and along the waters edge. there is a boat ramp on the opposite side of the river also.,moderate,usage is probably moderate to high depending on weather.,no,no,no,yes,no,no,no,no,no,yes,quickly,Submerged,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010028,16/02/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,yes,no,no,it is a thereat to the kids that go there fishing,no further action,n/a,n/a,16/02/2010,Crocodylus porsus,1,2,yes,no,"in a small waterhole about 400- 500m away from Russell River behind Odelias house, the house is situated approx 200m away from the waterhole.",-17.264565,145.53556,small creek that runs into the Russell River,"cane farm land with an open area on one side great area for sunning itself and trees lining the creek all the way down to the Russell River, the creek doesn’t seem to be running at the moment.",no public is allowed there they do have chains across the road which leads down to the Russell River which is the service road for the tram line I would guess.,only fishing from the grandkids to Miss Odelia Gattis and cane farmers to spray and cut cane,low,"Concern is expressed for the kids as she says they are at the age of no fear and they will keep going down there to the waterhole.She also stated that a couple of her dogs have come back with big gashes out of the side of there body and have eventually died but that was a few years ago now and she believes that there is two but she does'nt know where the bigger one is situated it is bigger then 3m, she believes that it is always travelling around in and out of the Russell River, she does'nt hear much about him but she is wary that it is around.",no,no,no,no,yes,no,no,no,no,yes,slowly,across the creek and then upstream,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010029,17/02/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,The crocodile was observed in an area where there is a high intensity of public use therefore inherently there is the potential for the animal to be a threat. The sighting however is unconfirmed and no sightings have subsequently been reported today when observations are more likely to occur.,no further action,n/a,n/a,17/02/2010,Crocodylus porsus,1,2.5,no,no,"Main Jetty, Strand",-19.2545,146.8235,The Strand - main beachfront of Townsville. The animal was observed in the ocean,Open water,The Strand,"Fishing, walking, swimming and boating. Swimming at the current time of year is usually restricted to within stinger enclosures",low,It was explained that there were no other people or boats in the area at the time.,no,no,no,no,yes,no,no,no,no,yes,no data,Crocodile was swimming in a southerly direction away from the focal areas of beach use.,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010030,17/02/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"If the sighting was of a crocodile and the estimate of head size was accurate then the crocodile would likely be in excess of 3.5 metres. The size class inherently identifies the animal as a potential threat, however the absence of detail to the report and inconsistency with the report of the 17th coupled with the lack of confirmation during spotlight survey and transient nature of many coastal sightings would indicate a low likelihood of interaction occurrence.",no further action,n/a,n/a,18/02/2010,Crocodylus porsus,1,no data,no,yes,The sighting was of what appeared to be a crocodile head approximately 150-200m behind the stinger enclosure located closest to the rock pool. ie northern end. The observation would have been made from a distance of 250-300m away including the distance from the parked car to the rear of the stinger enclosure.,-19.2407,146.807,The Strand - beachfront,Beach front - open water,The strand is a public use area,"Swimming within stinger enclosures at this time of year. fishing, walking, limited boating, surf life saving activities.",low,One person was using the stinger net for swimming at the time and there were a couple of ladies walking on the pathway above the strand.,no,no,yes,no,no,no,no,no,no,no,stationary,"Stationary, the head appeared for approximately 20 seconds and then disappeared from view again.",n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010031,19/02/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,I am not familiar with the exact location however observer informs me a lot of people use the area. Croc was very close to where people stand/walk. Saltwater creek is known croc habitat but apparently there has been larger animals removed from this area previously (according to observer) and this location is a risk because it is used by the public.,no further action,n/a,n/a,19/02/2010,Crocodylus porsus,1,2,no,no,railway bridge 100-150m upstream heading downstream towards the bridge and the airport,-16.8939,145.7522,saltwater creek,mangrove lined tidal creek,concrete pathway along the creek,"walk along creek, fishing etc",moderate,animal was sighted only 1m away from person then submerged,no,no,yes,no,no,no,no,no,no,yes,no data,Downstream,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
